Datum,Gemeldete Fälle,gestorben
01.03.2020,1,0
02.03.2020,3,0
03.03.2020,5,0
04.03.2020,8,0
05.03.2020,20,0
06.03.2020,25,0
07.03.2020,26,0
08.03.2020,37,0
09.03.2020,59,0
10.03.2020,93,0
11.03.2020,136,0
12.03.2020,183,0
13.03.2020,244,0
14.03.2020,273,0
15.03.2020,298,0
16.03.2020,361,0
17.03.2020,456,0
18.03.2020,601,0
19.03.2020,779,0
20.03.2020,947,1
21.03.2020,1074,1
22.03.2020,1144,1
23.03.2020,1302,2
24.03.2020,1501,3
25.03.2020,1749,4
26.03.2020,2033,8
27.03.2020,2238,8
28.03.2020,2434,9
29.03.2020,2521,11
30.03.2020,2684,13
31.03.2020,2897,15
01.04.2020,3084,17
02.04.2020,3309,20
03.04.2020,3547,22
04.04.2020,3655,24
05.04.2020,3729,26
06.04.2020,3874,28
07.04.2020,4069,32
08.04.2020,4238,37
09.04.2020,4357,42
10.04.2020,4446,46
11.04.2020,4553,50
12.04.2020,4583,51
13.04.2020,4667,56
14.04.2020,4736,62
15.04.2020,4870,74
16.04.2020,4971,84
17.04.2020,5091,91
18.04.2020,5187,92
19.04.2020,5225,94
20.04.2020,5265,97
21.04.2020,5341,105
22.04.2020,5355,105
23.04.2020,5476,112
24.04.2020,5532,113
25.04.2020,5607,123
26.04.2020,5644,125
27.04.2020,5677,127
28.04.2020,5738,137
29.04.2020,5821,147
30.04.2020,5881,149
01.05.2020,5936,152
02.05.2020,5970,154
03.05.2020,6004,154
04.05.2020,6036,154
05.05.2020,6086,159
06.05.2020,6143,162
07.05.2020,6203,163
08.05.2020,6236,164
09.05.2020,6256,165
10.05.2020,6267,165
11.05.2020,6269,165
12.05.2020,6294,170
13.05.2020,6338,173
14.05.2020,6393,177
15.05.2020,6424,180
16.05.2020,6443,180
17.05.2020,6454,180
18.05.2020,6474,182
19.05.2020,6503,186
20.05.2020,6552,186
21.05.2020,6582,190
22.05.2020,6611,190
23.05.2020,6636,191
24.05.2020,6641,191
25.05.2020,6651,191
26.05.2020,6672,193
27.05.2020,6702,195
28.05.2020,6737,196
29.05.2020,6766,197
30.05.2020,6799,198
31.05.2020,6815,198
01.06.2020,6838,198
02.06.2020,6873,198
03.06.2020,6900,200
04.06.2020,6945,200
05.06.2020,6963,201
06.06.2020,6996,205
07.06.2020,7015,205
08.06.2020,7041,205
09.06.2020,7081,206
10.06.2020,7135,208
11.06.2020,7164,208
12.06.2020,7251,208
13.06.2020,7281,208
14.06.2020,7321,208
15.06.2020,7368,208
16.06.2020,7401,209
17.06.2020,7474,210
18.06.2020,7602,211
19.06.2020,7732,211
20.06.2020,7803,211
21.06.2020,7832,211
22.06.2020,7915,211
23.06.2020,7974,211
24.06.2020,8020,212
25.06.2020,8095,212
26.06.2020,8144,213
27.06.2020,8167,213
28.06.2020,8175,213
29.06.2020,8219,214
30.06.2020,8242,214
