Meldedatum,Gemeldete Fälle,Verstorben
03.03.2020,6,0
04.03.2020,11,0
05.03.2020,19,0
06.03.2020,24,0
07.03.2020,25,0
08.03.2020,36,0
09.03.2020,58,0
10.03.2020,93,0
11.03.2020,134,0
12.03.2020,183,0
13.03.2020,242,0
14.03.2020,270,0
15.03.2020,298,0
16.03.2020,368,0
17.03.2020,475,0
18.03.2020,601,2
19.03.2020,783,3
20.03.2020,948,5
21.03.2020,1074,7
22.03.2020,1145,8
23.03.2020,1302,12
24.03.2020,1503,17
25.03.2020,1747,19
26.03.2020,2052,24
27.03.2020,2240,28
28.03.2020,2437,31
29.03.2020,2527,35
30.03.2020,2692,39
31.03.2020,2903,42
01.04.2020,3098,53
02.04.2020,3325,57
03.04.2020,3570,75
04.04.2020,3672,76
05.04.2020,3753,81
06.04.2020,3893,90
07.04.2020,4098,105
08.04.2020,4275,111
09.04.2020,4449,122
10.04.2020,4529,126
11.04.2020,4619,127
12.04.2020,4671,128
13.04.2020,4731,130
14.04.2020,4806,131
15.04.2020,4920,134
16.04.2020,5009,136
17.04.2020,5130,142
18.04.2020,5213,147
19.04.2020,5246,147
20.04.2020,5293,149
21.04.2020,5365,151
22.04.2020,5447,158
23.04.2020,5533,160
24.04.2020,5618,164
25.04.2020,5659,169
26.04.2020,5684,170
27.04.2020,5735,180
28.04.2020,5815,187
29.04.2020,5885,187
30.04.2020,5941,191
01.05.2020,5966,191
02.05.2020,6004,193
03.05.2020,6028,194
04.05.2020,6080,194
05.05.2020,6133,195
06.05.2020,6191,196
07.05.2020,6249,197
08.05.2020,6253,197
09.05.2020,6270,198
10.05.2020,6278,198
11.05.2020,6294,200
12.05.2020,6331,201
13.05.2020,6390,201
14.05.2020,6435,202
15.05.2020,6450,202
16.05.2020,6466,202
17.05.2020,6478,202
18.05.2020,6507,203
19.05.2020,6553,206
20.05.2020,6601,207
21.05.2020,6611,208
22.05.2020,6647,208
23.05.2020,6655,208
24.05.2020,6657,208
25.05.2020,6679,208
26.05.2020,6701,208
27.05.2020,6742,208
28.05.2020,6767,208
29.05.2020,6797,208
30.05.2020,6820,208
31.05.2020,6847,208
01.06.2020,6849,208
02.06.2020,6890,209
03.06.2020,6945,210
04.06.2020,6978,210
05.06.2020,7008,211
06.06.2020,7023,211
07.06.2020,7031,211
08.06.2020,7060,211
09.06.2020,7117,211
10.06.2020,7194,212
11.06.2020,7244,212
12.06.2020,7291,213
13.06.2020,7353,213
14.06.2020,7365,213
15.06.2020,7398,213
16.06.2020,7471,213
17.06.2020,7557,213
18.06.2020,7686,213
19.06.2020,7821,213
20.06.2020,7855,213
21.06.2020,7875,213
22.06.2020,7938,213
23.06.2020,8009,213
24.06.2020,8064,213
25.06.2020,8126,213
26.06.2020,8168,213
27.06.2020,8185,213
28.06.2020,8187,213
29.06.2020,8242,214
30.06.2020,8273,214
01.07.2020,8301,214
02.07.2020,8344,214
