date,Fälle,verstorben
2020-03-01,1,null
2020-03-02,3,null
2020-03-03,6,null
2020-03-04,12,null
2020-03-06,19,null
2020-03-07,28,null
2020-03-08,48,null
2020-03-10,58,null
2020-03-11,118,null
2020-03-13,158,null
2020-03-14,263,null
2020-03-15,283,null
2020-03-16,332,null
2020-03-17,383,null
2020-03-18,519,null
2020-03-19,688,null
2020-03-20,868,1
2020-03-21,1025,1
2020-03-22,1071,1
2020-03-23,1219,2
2020-03-24,1425,3
2020-03-25,1645,4
2020-03-26,1937,8
2020-03-27,2152,8
2020-03-28,2337,9
2020-03-29,2462,11
2020-03-30,2581,13
2020-03-31,2777,15
2020-04-01,2993,17
2020-04-02,3223,20
2020-04-03,3486,22
2020-04-04,3626,24
2020-04-05,3687,26
2020-04-06,3862,28
2020-04-07,4038,32
2020-04-08,4212,37
2020-04-09,4357,42
2020-04-10,4446,46
2020-04-11,4553,50
2020-04-12,4583,51
2020-04-13,4667,56
2020-04-14,4736,62
2020-04-15,4870,74
2020-04-16,4971,84
2020-04-17,5091,91
2020-04-18,5187,92
2020-04-19,5225,94
2020-04-20,5265,97
2020-04-21,5341,105
2020-04-22,5355,105
2020-04-23,5476,112
2020-04-24,5532,113
2020-04-25,5607,123
2020-04-26,5644,125
2020-04-27,5677,127
2020-04-28,5738,137
2020-04-29,5821,147
2020-04-30,5881,149
2020-05-01,5936,152
2020-05-02,5970,154
2020-05-03,6004,154
2020-05-04,6036,154
2020-05-05,6086,159
2020-05-06,6143,162
2020-05-07,6203,163
2020-05-08,6236,164
2020-05-09,6256,165
2020-05-10,6267,165
2020-05-11,6269,165
2020-05-12,6294,170
2020-05-13,6338,173
2020-05-14,6393,177
2020-05-15,6424,181
2020-05-16,6443,181
2020-05-17,6454,180
2020-05-18,6474,182
2020-05-19,6503,186
2020-05-20,6552,186
2020-05-21,6582,190
2020-05-22,6611,190
2020-05-23,6636,191
2020-05-24,6641,191
2020-05-25,6651,191
2020-05-26,6672,193
2020-05-27,6702,195
2020-05-28,6737,196
2020-05-29,6766,197
2020-05-30,6799,198
2020-05-31,6815,198
2020-06-01,6838,198
2020-06-02,6873,198
2020-06-03,6900,200
2020-06-04,6945,200
2020-06-05,6963,201
2020-06-06,6996,205
2020-06-07,7015,205
2020-06-08,7041,205
2020-06-09,7081,206
2020-06-10,7135,208
2020-06-11,7164,208
2020-06-12,7251,208
2020-06-13,7281,208
2020-06-14,7321,208
2020-06-15,7368,208
2020-06-16,7401,209
2020-06-17,7474,210
2020-06-18,7602,211
2020-06-19,7732,211
2020-06-20,7803,211
2020-06-21,7832,211
2020-06-22,7915,211
2020-06-23,7974,211
2020-06-24,8020,212
2020-06-25,8095,212
2020-06-26,8144,213
2020-06-27,8167,213
2020-06-28,8175,213
2020-06-29,8219,214
2020-06-30,8242,214
2020-07-01,8301,214
2020-07-02,8344,214
2020-07-03,8392,214
2020-07-04,8433,215
2020-07-05,8450,215
2020-07-06,8461,215
2020-07-07,8501,215
2020-07-08,8536,216
2020-07-09,8585,216
2020-07-10,8616,216
2020-07-11,8636,217
2020-07-12,8637,217
2020-07-13,8655,219
2020-07-14,8673,220
2020-07-15,8698,221
2020-07-16,8724,221
2020-07-17,8747,221
2020-07-18,8772,221
2020-07-19,8778,221
2020-07-20,8801,221
